소재지전체주소 상호명,동
서울특별시 종로구 Feb-45 1층,교남동
서울특별시 종로구 218-1번지 지상4층,낙원동
서울특별시 종로구 1399번지 지상2층,숭인동
서울특별시 종로구 1-27번지,동숭동
서울특별시 종로구 110-7번지 지상2층,구기동
서울특별시 종로구 80-3번지,창신동
서울특별시 종로구 159번지 (지상4층),낙원동
서울특별시 종로구 161 (지하1층),낙원동
서울특별시 종로구 14-3번지 지하1층,관철동
서울특별시 종로구 149-1 태종빌딩,묘동
서울특별시 종로구 89번지 지상 2층,관수동
서울특별시 종로구 177-2번지,숭인동
서울특별시 종로구 Jan-49,통의동
서울특별시 종로구 190번지,체부동
서울특별시 종로구 150-1번지 파고다빌딩 1층,낙원동
서울특별시 종로구 12-2번지 5층,관철동
서울특별시 종로구 392-1번지,창신동
서울특별시 종로구 68번지 지상2층,관수동
서울특별시 종로구 160번지,돈의동
서울특별시 종로구 95번지,내수동
서울특별시 종로구 89 경희궁 롯데캐슬,무악동
서울특별시 종로구 136번지 (지상1층),낙원동
서울특별시 종로구 759번지 1층,숭인동
서울특별시 종로구 198-11번지 (지상1층),관훈동
서울특별시 종로구 301-1번지,평창동
서울특별시 종로구 121-1 지상1층,낙원동
서울특별시 종로구 8-1번지,명륜4가
서울특별시 종로구 46-1번지 지상1층,홍지동
서울특별시 종로구 96번지,교남동
서울특별시 종로구 25-5번지,동숭동
서울특별시 종로구 17-12번지 지상1층,창신동
서울특별시 종로구 391-6,창신동
서울특별시 종로구 34번지,돈의동
서울특별시 종로구 676-1번지,창신동
서울특별시 종로구 1-1145,명륜3가
서울특별시 종로구 Jan-71 삼성빌딩 3층,수송동
서울특별시 종로구 45-2번지,관철동
서울특별시 종로구 171-176,행촌동
서울특별시 종로구 46번지 경희궁 롯데캐슬,무악동
서울특별시 종로구 199번지 경희궁자이 2단지,홍파동
서울특별시 종로구 12-16번지,관철동
서울특별시 종로구 26,관수동
서울특별시 종로구 651-26번지,창신동
서울특별시 종로구 236-1번지 낙원빌딩,낙원동
서울특별시 종로구 161-12번지 지상1층,관수동
서울특별시 종로구 70 그랑서울 제타워1 309호,청진동
서울특별시 종로구 58-1번지 종로오피스텔 101~103호,낙원동
서울특별시 종로구 18-8번지,관철동
서울특별시 종로구 296-21번지,숭인동
서울특별시 종로구 60번지 지하1층 16호호,도렴동
서울특별시 종로구 229번지 2층,낙원동
서울특별시 종로구 1-92번지 (태원빌딩 3층),동숭동
서울특별시 종로구 26번지,명륜4가
서울특별시 종로구 25번지,신문로2가
서울특별시 종로구 23-76번지 브라운스톤 창신,창신동
서울특별시 종로구 10-23번지 1층,관철동
서울특별시 종로구 1-37번지 4층,동숭동
서울특별시 종로구 19-1번지 해덕빌딩,관철동
서울특별시 종로구 16-1,수송동
서울특별시 종로구 23-76번지 브라운스톤 창신,창신동
서울특별시 종로구 81-9번지,창신동
서울특별시 종로구 37 삼창빌딩,돈의동
서울특별시 종로구 1248,숭인동
서울특별시 종로구 Mar-61,명륜4가
서울특별시 종로구 1-105,동숭동
서울특별시 종로구 330-2,창신동
